date,cmname,unit,category,price,currency,country,admname,adm1id,mktname,mktid,cmid,ptid,umid,catid,sn,default
#date,#item+name,#item+unit,#item+type,#value,#currency,#country+name,#adm1+name,#adm1+code,#name+market,,#item+code,,,#item+type+code,#meta+id,
2008-05-15,Potatoes - Retail,KG,cereals and tubers,87.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2008-06-15,Potatoes - Retail,KG,cereals and tubers,96.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2008-07-15,Potatoes - Retail,KG,cereals and tubers,108.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2008-08-15,Potatoes - Retail,KG,cereals and tubers,96.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2008-09-15,Potatoes - Retail,KG,cereals and tubers,89.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2008-10-15,Potatoes - Retail,KG,cereals and tubers,84.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2008-11-15,Potatoes - Retail,KG,cereals and tubers,91.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2008-12-15,Potatoes - Retail,KG,cereals and tubers,91.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2009-01-15,Potatoes - Retail,KG,cereals and tubers,91.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2009-02-15,Potatoes - Retail,KG,cereals and tubers,91.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2009-03-15,Potatoes - Retail,KG,cereals and tubers,103.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2009-04-15,Potatoes - Retail,KG,cereals and tubers,110.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2009-05-15,Potatoes - Retail,KG,cereals and tubers,110.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2009-06-15,Potatoes - Retail,KG,cereals and tubers,98.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2009-07-15,Potatoes - Retail,KG,cereals and tubers,84.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2009-08-15,Potatoes - Retail,KG,cereals and tubers,74.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2009-09-15,Potatoes - Retail,KG,cereals and tubers,67.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2009-10-15,Potatoes - Retail,KG,cereals and tubers,67.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2009-11-15,Potatoes - Retail,KG,cereals and tubers,64.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
2009-12-15,Potatoes - Retail,KG,cereals and tubers,64.0,KZT,Kazakhstan,Akmolinskaya,1714,Nur-Sultan,2622,83,15,5,1,2622_83_15_5,
